Title, Main Story, Main + Extras, Completionist, Developer, Publisher, Platform(s), Genre(s)
Kenka Bancho: Badass Rumble, 6h 54m, 15h 27m, 9h 28m, Spike, N/A, PlayStation Vita/PSP, N/A
Shin Megami Tensei: Devil Survivor Overclocked, 45h 50m, 61h 26m, 141h 36m, Atlus, Atlus, Nintendo 3DS/Nintendo DS, Role-Playing/Tactical
Radiant Historia: Perfect Chronology, 26h 01m, 45h 24m, 58h 25m, Atlus, Atlus, Nintendo 2DS/Nintendo 3DS, Third-Person/Turn-Based/Role-Playing
Suikoden, 20h 57m, 24h 23m, 26h 51m, Konami, Konami, PC/PlayStation/PlayStation 3/PlayStation Vita/PSP, N/A
Valkyria Chronicles II, 38h 53m, 65h 17m, 160h 48m, Sega, Sega, PlayStation Vita/PSP, N/A
Dragon Quest V: Hand of the Heavenly Bride, 30h 27m, 39h 41m, 43h 07m, N/A, N/A, Mobile/Nintendo 2DS/Nintendo 3DS/Nintendo DS/PlayStation 2/Super Nintendo/Famicom, N/A
Grandia, 43h 46m, 60h 34m, 90h 57m, Game Arts, N/A, PlayStation/PlayStation 3/PlayStation Vita/PSP/Sega Saturn, N/A
Shin Megami Tensei III: Nocturne, 54h 21m, 68h 52m, 88h 36m, Atlus, N/A, PC/PlayStation 2/PlayStation 3, Third-Person/Turn-Based/Role-Playing
Xenogears, 56h 39m, 65h 25m, 80h 50m, Square Product Development Division-3, Square EA, PlayStation/PlayStation 2/PlayStation 3/PlayStation Vita/PSP, N/A
Mother, 16h 38m, 21h 37m, 27h 45m, N/A, Nintendo, Game Boy Advance/NES/Famicom/Wii U, Top-Down/Turn-Based/Role-Playing
Detroit: Become Human, 11h 30m, 14h 27m, 29h 39m, Quantic Dream, Sony Computer Entertainment, PlayStation 4, Third-Person/Adventure
Brothers: A Tale of Two Sons, 3h 06m, 3h 29m, 3h 59m, Starbreeze Studios, 505 Games, Mobile/PC/PlayStation 3/PlayStation 4/Xbox/Xbox 360/Xbox One, Third-Person/Adventure
Chrono Trigger, 23h 14m, 27h 07m, 45h 59m, Square, Square, Mobile/Nintendo 3DS/Nintendo DS/PC/PlayStation/PlayStation 2/PlayStation 3/PlayStation Vita/PSP/Super Nintendo/Famicom/Wii, Real-Time/Role-Playing
Hollow Knight, NR, NR, NR, Team Cherry, Team Cherry, PC/Nintendo Switch/PlayStation 4/Xbox One, Action/Adventure
Titanfall 2, 6h 15m, 8h 29m, 14h 27m, Respawn Entertainment, Electronic Arts, PC/PlayStation 4/Xbox One, First-Person/Action/Platform/Shooter
Ori and the Blind Forest, 8h 13m, 10h 17m, 11h 01m, Moon Studios, Microsoft Studios, PC/Xbox One, Adventure/Platform
Spelunky, 19h 08m, 42h 19m, 83h 19m, N/A, N/A, PC/PlayStation 3/PlayStation 4/PlayStation Vita/Xbox 360/Xbox One, Action/Adventure
The Binding of Isaac: Rebirth, 5h 11m, 78h 38m, 255h 36m, Nicalis, Nicalis, PC/Nintendo 3DS/PlayStation 4/PlayStation Vita/Wii U/Xbox One, Action/Adventure/Roguelike
Castlevania: Symphony of the Night, 8h 49m, 11h 45m, 18h 47m, KCE Tokyo, Konami, PC/PlayStation/PlayStation 2/PlayStation 3/PlayStation 4/PlayStation Vita/PSP/Sega Saturn/Xbox 360/Xbox One, Action/Adventure/Role-Playing
The Legend of Heroes: Trails in the Sky, 41h 05m, 51h 10m, 67h 52m, Nihon Falcom, N/A, PC/PlayStation Vita/PSP, Top-Down/Turn-Based/Role-Playing
Katana ZERO, 4h 28m, 5h 20m, 7h 10m, Askiisoft, Devolver Digital, Nintendo Switch/PC, Side/Scrolling/Action/Platform
